Id;Path;Age;HaarCascade_FaceDetected;DeepFace_SSD_FaceDetected;DeepFace_SSD_Age
122542;D://braineye\dataset\dataset\20\122542.jpg;20;1;1;23
122550;D://braineye\dataset\dataset\20\122550.jpg;20;1;1;23
122573;D://braineye\dataset\dataset\20\122573.jpg;20;1;0;0
122642;D://braineye\dataset\dataset\20\122642.jpg;20;1;1;26
122646;D://braineye\dataset\dataset\20\122646.jpg;20;1;1;25
122716;D://braineye\dataset\dataset\20\122716.jpg;20;1;1;38
122776;D://braineye\dataset\dataset\20\122776.jpg;20;0;1;24
122810;D://braineye\dataset\dataset\20\122810.jpg;20;2;1;29
122819;D://braineye\dataset\dataset\20\122819.jpg;20;1;1;24
122829;D://braineye\dataset\dataset\20\122829.jpg;20;1;1;27
122886;D://braineye\dataset\dataset\20\122886.jpg;20;1;1;34
122939;D://braineye\dataset\dataset\20\122939.jpg;20;1;1;28
122953;D://braineye\dataset\dataset\20\122953.jpg;20;1;1;33
122979;D://braineye\dataset\dataset\20\122979.jpg;20;1;1;25
123283;D://braineye\dataset\dataset\20\123283.jpg;20;1;1;28
123401;D://braineye\dataset\dataset\20\123401.jpg;20;1;1;31
123479;D://braineye\dataset\dataset\20\123479.jpg;20;1;1;26
123568;D://braineye\dataset\dataset\20\123568.jpg;20;1;1;26
123600;D://braineye\dataset\dataset\20\123600.jpg;20;1;1;29
123670;D://braineye\dataset\dataset\20\123670.jpg;20;1;1;29
123799;D://braineye\dataset\dataset\20\123799.jpg;20;1;1;31
123832;D://braineye\dataset\dataset\20\123832.jpg;20;1;1;29
123952;D://braineye\dataset\dataset\20\123952.jpg;20;1;1;28
123981;D://braineye\dataset\dataset\20\123981.jpg;20;1;1;30
124015;D://braineye\dataset\dataset\20\124015.jpg;20;1;1;33
124092;D://braineye\dataset\dataset\20\124092.jpg;20;1;1;28
124306;D://braineye\dataset\dataset\20\124306.jpg;20;1;1;24
124399;D://braineye\dataset\dataset\20\124399.jpg;20;1;1;24
124402;D://braineye\dataset\dataset\20\124402.jpg;20;1;1;29
124412;D://braineye\dataset\dataset\20\124412.jpg;20;1;1;31
124459;D://braineye\dataset\dataset\20\124459.jpg;20;1;1;32
124515;D://braineye\dataset\dataset\20\124515.jpg;20;1;1;31
124528;D://braineye\dataset\dataset\20\124528.jpg;20;1;1;30
124561;D://braineye\dataset\dataset\20\124561.jpg;20;1;1;29
124633;D://braineye\dataset\dataset\20\124633.jpg;20;0;1;37
124671;D://braineye\dataset\dataset\20\124671.jpg;20;0;1;30
124740;D://braineye\dataset\dataset\20\124740.jpg;20;1;1;32
124747;D://braineye\dataset\dataset\20\124747.jpg;20;1;1;30
124759;D://braineye\dataset\dataset\20\124759.jpg;20;1;1;23
124815;D://braineye\dataset\dataset\20\124815.jpg;20;0;1;31
124873;D://braineye\dataset\dataset\20\124873.jpg;20;1;1;22
124956;D://braineye\dataset\dataset\20\124956.jpg;20;1;1;28
124968;D://braineye\dataset\dataset\20\124968.jpg;20;1;1;30
124981;D://braineye\dataset\dataset\20\124981.jpg;20;1;1;29
125128;D://braineye\dataset\dataset\20\125128.jpg;20;1;1;31
125151;D://braineye\dataset\dataset\20\125151.jpg;20;0;1;36
125174;D://braineye\dataset\dataset\20\125174.jpg;20;1;1;31
125202;D://braineye\dataset\dataset\20\125202.jpg;20;1;1;27
125262;D://braineye\dataset\dataset\20\125262.jpg;20;1;1;26
125265;D://braineye\dataset\dataset\20\125265.jpg;20;1;1;26
125307;D://braineye\dataset\dataset\20\125307.jpg;20;1;1;29
125408;D://braineye\dataset\dataset\20\125408.jpg;20;0;1;33
125467;D://braineye\dataset\dataset\20\125467.jpg;20;0;1;30
125481;D://braineye\dataset\dataset\20\125481.jpg;20;1;1;22
125494;D://braineye\dataset\dataset\20\125494.jpg;20;2;1;30
125542;D://braineye\dataset\dataset\20\125542.jpg;20;1;1;25
125567;D://braineye\dataset\dataset\20\125567.jpg;20;0;1;31
125591;D://braineye\dataset\dataset\20\125591.jpg;20;1;1;29
125700;D://braineye\dataset\dataset\20\125700.jpg;20;1;1;31
125706;D://braineye\dataset\dataset\20\125706.jpg;20;1;1;29
125722;D://braineye\dataset\dataset\20\125722.jpg;20;1;1;28
125871;D://braineye\dataset\dataset\20\125871.jpg;20;1;1;23
125889;D://braineye\dataset\dataset\20\125889.jpg;20;0;1;31
125909;D://braineye\dataset\dataset\20\125909.jpg;20;0;1;33
125926;D://braineye\dataset\dataset\20\125926.jpg;20;0;1;27
125972;D://braineye\dataset\dataset\20\125972.jpg;20;1;1;30
126024;D://braineye\dataset\dataset\20\126024.jpg;20;1;1;25
126050;D://braineye\dataset\dataset\20\126050.jpg;20;0;1;44
126066;D://braineye\dataset\dataset\20\126066.jpg;20;1;1;20
126126;D://braineye\dataset\dataset\20\126126.jpg;20;1;1;30
126270;D://braineye\dataset\dataset\20\126270.jpg;20;1;1;32
126398;D://braineye\dataset\dataset\20\126398.jpg;20;1;1;24
126489;D://braineye\dataset\dataset\20\126489.jpg;20;1;1;28
